University name,Type of university,Sponsorship,Right of promotion,Founding year,Number of students,Address,lat,lon,plz,pic
Hochschule für Bildende Künste Braunschweig,Artistic university,public,yes,1963,976,Johannes-Selenka-Platz 1,52.2577384,10.5023145,38118 Braunschweig,https://www.hbk-bs.de/fileadmin/_processed_/5/1/csm_HBK_Logo_9f3f898a2b.png
Technische Universität Carolo-Wilhelmina zu Braunschweig,University,public,yes,1745,17709,Universitätspl. 2,52.27355,10.530097,38106 Braunschweig,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Siegel_TU_Braunschweig_transparent.svg/1200px-Siegel_TU_Braunschweig_transparent.svg.png
Hochschule 21,University of Applied Sciences,privat,no,2005,1084,Harburger Str. 6,53.47765,9.70465,21614 Buxtehude,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hochschule_21_logo.svg/2560px-Hochschule_21_logo.svg.png
Technische Universität Clausthal,University,public,yes,1775,3446,Adolph-Roemer-Straße 2A,51.80484,10.33411,38678 Clausthal-Zellerfeld,https://www.presse.tu-clausthal.de/fileadmin/TU_Clausthal/images/CorporateDesign/Logo/Logo_TUC_en_RGB_gross.gif
Hochschule Emden/Leer,University of Applied Sciences,public,no,2009,4481,Constantiapl. 4,53.36816,7.18141,26723 Emden,https://sta-hisweb.hs-emden-leer.de/QIS/images//logo_el.jpg
PFH – Private Hochschule Göttingen,University of Applied Sciences,privat,no,1995,4226,Weender Landstraße 3-7,51.53891,9.93322,37073 Göttingen,https://goettingen-campus.de/fileadmin/_processed_/d/7/csm_logopfh_20f8eee765.jpg
Georg-August-Universität Göttingen,University,public,yes,1737,28614,Wilhelmsplatz 1,51.53407,9.93785,37073 Göttingen,https://upload.wikimedia.org/wikipedia/commons/c/c0/Logo_Uni_G%C3%B6ttingen_2022.png
Fachhochschule für die Wirtschaft Hannover,University of Applied Sciences,privat,no,1996,641,Freundallee 15,52.3662,9.77247,30173 Hannover,https://upload.wikimedia.org/wikipedia/commons/5/5c/Fachhochschule_f%C3%BCr_die_Wirtschaft_logo.svg
Hochschule Hannover,University of Applied Sciences,public,no,1971,9209,Ricklinger Stadtweg 120,52.35419,9.72238,30459 Hannover,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/HsH_Logo.svg/1200px-HsH_Logo.svg.png
"Hochschule für Musik, Theater und Medien Hannover",Artistic university,public,yes,1897,1409,Neues Haus 1,52.37738,9.75392,30175 Hannover,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/HMTM-Logo-2010.svg/1200px-HMTM-Logo-2010.svg.png
Leibniz-Fachhochschule,University of Applied Sciences,privat,no,1920,589,Expo Plaza 11,52.32115,9.81868,30539 Hannover,https://www.visit-hannover.com/var/storage/images/_aliases/image_full/media/01-data-neu/bilder/redaktion-hannover.de/portale/initiative-wissenschaft/leibniz-fh/leibniz-fachhochschule-logo/8135360-1-ger-DE/Leibniz-Fachhochschule-Logo.jpg
Medizinische Hochschule Hannover (MHH),University,public,yes,1963,3778,Carl-Neuberg-Straße 1,52.38405,9.80603,30625 Hannover,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Medizinische_Hochschule_Hannover_logo.svg/2560px-Medizinische_Hochschule_Hannover_logo.svg.png
Stiftung Tierärztliche Hochschule Hannover,University,public,yes,1778,2381,Bünteweg 2,52.35468,9.79773,30559 Hannover,https://upload.wikimedia.org/wikipedia/de/thumb/5/59/Tier%C3%A4rztliche_Hochschule_Hannover_logo.svg/1200px-Tier%C3%A4rztliche_Hochschule_Hannover_logo.svg.png
Gottfried Wilhelm Leibniz Universität Hannover,University,public,yes,1831,28935,Welfengarten 1,52.38225,9.71777,30167 Hannover,https://www.uni-hannover.de/fileadmin/_processed_/1/5/csm_luh-logo-3x2_8dea6c08fc.jpg
Fachhochschule für Interkulturelle Theologie Hermannsburg,University of Applied Sciences,privat,no,2012,91,Missionsstraße 3-5,52.708843,10.14071,29320 Südheide,https://cdn.max-e5.info/damfiles/logo/fh_hermannsburg/fh_hermannsburg/Kopfgrafik/Logo-FIT--weiss.jpg-b5f510cb468ab8840e0f2e62b703208e.jpg
Universität Hildesheim,University,public,yes,1978,8378,Universitätspl. 1,52.13401,9.97469,31141 Hildesheim,https://www.uni-hildesheim.de/media/_processed_/d/8/csm_Bildkombo_Logo_Uni_Hildesheim-1850_8fd99cc21e.jpg
HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim,University of Applied Sciences,public,no,1971,6495,Hohnsen 4,52.14246,9.95798,31134 Hildesheim,https://upload.wikimedia.org/wikipedia/commons/0/02/HAWK-Logo.jpg
